sample_id,object,record_index,human_label,notes
001,juxing,10,,
002,juxing,19,,
003,juxing,68,,
004,juxing,78,,
005,juxing,129,,
006,juxing,160,,
007,juxing,213,,
008,juxing,535,,
009,juxing,544,,
010,juxing,565,,
011,juxing,580,,
012,juxing,629,,
013,juxing,752,,
014,juxing,779,,
015,juxing,869,,
016,juxing,911,,
017,juxing,957,,
018,juxing,966,,
019,juxing,987,,
020,juxing,988,,
021,shuilongtou,1,,
022,shuilongtou,5,,
023,shuilongtou,24,,
024,shuilongtou,57,,
025,shuilongtou,78,,
026,shuilongtou,82,,
027,shuilongtou,92,,
028,shuilongtou,347,,
029,shuilongtou,378,,
030,shuilongtou,495,,
031,shuilongtou,514,,
032,shuilongtou,585,,
033,shuilongtou,589,,
034,shuilongtou,618,,
035,shuilongtou,667,,
036,shuilongtou,724,,
037,shuilongtou,734,,
038,shuilongtou,727,,
039,shuilongtou,762,,
040,shuilongtou,706,,
041,cat,11,,
042,cat,56,,
043,cat,82,,
044,cat,106,,
045,cat,109,,
046,cat,136,,
047,cat,144,,
048,cat,241,,
049,cat,261,,
050,cat,263,,
051,cat,280,,
052,cat,438,,
053,cat,395,,
054,cat,523,,
055,cat,596,,
056,cat,601,,
057,cat,535,,
058,cat,511,,
059,cat,531,,
060,cat,599,,
