angle_deg,base_id,depth,id,opening,score_angle_diff,score_angle_ymax,score_angle_ymin,score_force_closure,score_inner_points_ratio,score_proj_area,score_proj_area_ratio,score_y0_diff,score_y_diff,score_zmax,score_zmin,width,final_score
0,4,10,136,60,35.98170436817941,178.60555138267887,142.62384701449946,0.7946673390154341,0.03503569467325645,142.90163155678695,0.0952677543711913,0.00041253393283113837,49.999850273132324,-0.26082325,-10,15,
15,15,10,147,60,24.037723483084022,164.07628405033466,140.03856056725064,0.7664768636915112,0.03470620538165843,142.97806692521644,0.09531871128347763,0.000354536208497791,49.99973982298115,-0.065605164,-10,15,
30,26,10,158,60,12.395134817635068,167.00959222678173,179.4047270444168,0.9744077017783164,0.035914332784184516,145.794525411834,0.097196350274556,0.0007062019621741911,49.998613662375675,-0.007514954,-10,15,
45,37,10,169,60,25.312462631399683,179.018295218149,153.70583258674932,0.8965315204643736,0.03602416254805052,145.24049570275335,0.0968269971351689,0.00014557924834335267,49.99971810910057,-0.007434845,-10,15,
60,48,10,180,60,2.938430657862881,173.49353834383925,176.43196900170213,0.9935590726838919,0.03646348160351455,147.0165098240418,0.09801100654936121,0.001552078106588084,49.9979315613878,-0.007434845,-10,15,
75,59,10,191,60,0.6845487621527866,179.93136847058886,179.24681970843608,0.9999135894761061,0.03514552443712246,144.56088457369,0.09637392304912668,0.00030427272134048167,49.999604935239915,-0.010944366,-10,15,
90,70,10,202,60,31.136560828553286,178.3687844505959,147.23222362204262,0.8408711233284927,0.034925864909390446,145.76524058620635,0.0971768270574709,0.00011700839968398213,49.99961185455322,-0.010944366,-10,15,
105,81,10,213,60,0.1348278903044502,179.4468558566636,179.31202796635915,0.9999279023138482,0.035804503020318505,144.62639557037747,0.09641759704691831,5.500070052733008e-07,49.999051578167425,-0.063579559,-10,15,
120,92,10,224,60,24.590180262267836,179.37026337777198,154.78008311550414,0.9046789813958599,0.035255354200988465,145.8607817282306,0.09724052115215373,0.00019542499713764983,49.998218747112794,-0.03901577,-10,15,
135,103,10,235,60,30.984654948208203,134.80892508418086,165.79358003238906,0.7047447256940019,0.034925864909390446,146.0913229866424,0.09739421532442827,0.0005281946776172219,49.99966955593109,-0.014649391,-10,15,
150,114,10,246,60,3.8825166143925856,179.8649871547227,175.98247054033013,0.9975426518279815,0.03459637561779242,146.3534707939244,0.09756898052928294,0.00012878538371552395,49.99934527723757,-0.014649391,-10,15,
165,125,10,257,60,0.07391725781349123,179.37180470358732,179.29788744577382,0.9999249085281514,0.03503569467325645,141.26304665001473,0.09417536443334315,0.0014291427740289464,49.99858137189814,-0.023739815,-10,15,
0,4,20,268,60,35.98170436817941,178.60555138267887,142.62384701449946,0.7946673390154341,0.054914881933003847,294.27129841445554,0.19618086560963702,0.00041253393283113837,49.999850273132324,-0.040203094,-20,15,
15,15,20,279,60,24.037723483084022,164.07628405033466,140.03856056725064,0.7664768636915112,0.055793520043931906,292.5637642822322,0.19504250952148816,0.000354536208497791,49.99973982298115,-0.040203094,-20,15,
30,26,20,290,60,0.2990570995887083,179.1056699448281,179.4047270444168,0.9998781719706624,0.05788028555738605,296.42170771413555,0.1976144718094237,0.0007138316725523453,49.99862129208606,-0.007650375,-20,15,
45,37,20,301,60,25.312462631399683,179.018295218149,153.70583258674932,0.8965315204643736,0.05777045579352005,293.1083682048357,0.1954055788032238,0.00014557924834335267,49.99971810910057,-0.007650375,-20,15,
60,48,20,312,60,2.9352102626675105,179.36717926436964,176.43196900170213,0.9980615979615833,0.05777045579352005,294.7209966230412,0.19648066441536077,5.67295575137905e-06,49.999477966538635,-0.027769089,-20,15,
75,59,20,323,60,0.6845487621527866,179.93136847058886,179.24681970843608,0.9999135894761061,0.056781987918725976,294.8680753323926,0.19657871688826173,0.00030427272134048167,49.999604935239915,-0.004827499,-20,15,
90,70,20,334,60,31.136560828553286,178.3687844505959,147.23222362204262,0.8408711233284927,0.055354200988467876,295.5150681773248,0.19701004545154985,0.00011700839968398213,49.99961185455322,-0.004827499,-20,15,
105,81,20,345,60,0.02157724070636391,179.33360520706552,179.31202796635915,0.9999279023138482,0.05656232839099396,291.37636484906875,0.19425090989937915,0.00033170785279779125,49.99938273601322,-0.027769089,-20,15,
120,92,20,356,60,0.05762917166507009,178.81485446746123,178.8724836391263,0.9997860693950834,0.05590334980779791,295.1931797714961,0.1967954531809974,7.453089878595165e-08,49.999670021688985,-0.047676086,-20,15,
135,103,20,367,60,13.811690329987584,179.60527036237664,165.79358003238906,0.9694178475275093,0.055354200988467876,293.2756116412634,0.19551707442750896,0.00044187793186623026,49.99975587267684,-0.040557861,-20,15,
150,114,20,378,60,3.8825166143925856,179.8649871547227,175.98247054033013,0.9975426518279815,0.054365733113673806,293.77143690269486,0.19584762460179658,0.00012878538371552395,49.99934527723757,-0.040203094,-20,15,
165,125,20,389,60,1.0758730594309895,178.22201438634283,179.29788744577382,0.9995185453453742,0.05458539264140582,292.68736088045193,0.19512490725363463,0.0009491853875047696,49.999061329284665,-0.040203094,-20,15,
0,6,30,402,90,3.008622067019701,134.9348442797524,137.9434663467721,0.7063022080938892,0.0885227896760022,447.866079831972,0.298577386554648,0.10655588930239901,79.32991635799408,0,-30,15,
15,17,30,413,90,5.799698928745414,131.00040905251896,136.80010798126438,0.656064410521264,0.08951125755079627,447.6457052842188,0.2984304701894792,0.24392266551181763,79.29236154106407,0,-30,15,
30,28,30,424,90,5.49152009983996,143.76248611053407,138.2709660106941,0.7463009810037065,0.0929159802306425,447.6448536971747,0.2984299024647831,0.33834468365255077,78.66533841283585,0,-30,15,
45,39,30,435,90,9.362796288009605,134.90940663754552,144.27220292555512,0.7059878470707821,0.09247666117517847,446.8022257699333,0.29786815051328885,0.18080180765672083,78.84993116922057,0,-30,15,
60,50,30,446,90,3.574790142844364,138.93535483407916,135.3605646912348,0.7115425951815784,0.09456342668863262,447.5682960197655,0.298378864013177,0.6132002103079657,79.24651669330854,0,-30,15,
75,61,30,457,90,4.561569108271584,133.1593714524955,128.5978023442239,0.6238496137555164,0.09247666117517847,447.9548532211239,0.2986365688140826,0.646482102229406,78.63366717050954,0,-30,15,
90,72,30,468,90,1.7065191659759478,126.13083259306299,124.42431342708704,0.5653170832746736,0.09247666117517847,448.6061761733818,0.29907078411558785,0.08836823253659531,78.938316822052,0,-30,15,
105,83,30,479,90,12.54879166086198,142.6269826060143,130.07819094515233,0.6438324171279826,0.09214717188358044,447.6458171267615,0.2984305447511743,0.1167625910756982,79.78243202206622,0,-30,15,
120,94,30,490,90,2.780777870550736,134.45406572183094,137.23484359238168,0.7003372160912543,0.09060955518945635,446.37817190854764,0.29758544793903174,0.0715833161390762,79.2207847160195,0,-30,15,
135,105,30,501,90,2.1990168664542864,138.82737770136137,136.62836083490708,0.7269146760881464,0.09038989566172433,446.252626362458,0.29750175090830533,0.24256875838703706,79.57571203887055,0,-30,15,
150,116,30,512,90,1.2332701371387316,125.87092398017136,127.10419411731009,0.5859612017124651,0.09017023613399232,448.50919787629283,0.29900613191752856,0.4607663978259353,79.06855485643557,0,-30,15,
165,127,30,523,90,18.72478503077913,146.7133671580979,127.98858212731876,0.6155044225801848,0.08885227896760022,448.0234893466142,0.29868232623107616,0.027370360548999884,79.64341558279575,0,-30,15,
0,6,40,534,90,27.001573144738273,179.66151567306605,152.65994252832778,0.8882963487736542,0.11048874244920373,588.88680966082,0.3925912064405466,0.0004221224080538377,79.99836450027942,-0.042110443,-40,15,
15,17,40,545,90,6.629528795109536,169.3823845208215,176.01191331593103,0.9828787373707418,0.1101592531576057,589.5063665636624,0.3930042443757749,1.848604955512201e-05,79.99774832390827,-0.036046982,-40,15,
30,28,40,556,90,0.08944795739901679,179.72952802483113,179.81897598223014,0.9999888478635214,0.11235584843492587,593.185705396745,0.39545713693116336,0.00010255335617870287,79.99938045653295,-0.036046982,-40,15,
45,39,40,567,90,2.558803660604468,179.4967206103291,176.93791694972464,0.9985722297245553,0.11378363536518396,593.7865299526283,0.3958576866350855,0.0001543457928363523,79.99948949692829,-0.036046982,-40,15,
60,50,40,578,90,9.940914404451576,169.9107867810565,179.85170118550806,0.984536168071214,0.11619989017023613,591.2851607621736,0.3941901071747824,0.00044987791147121925,79.99911691485974,-0.036046982,-40,15,
75,61,40,589,90,6.374288598079318,173.20534496495216,179.57963356303148,0.9929765394351419,0.11191652937946184,590.6076100154995,0.39373840667699966,0.0009968415561445454,79.998303317444,-0.101596832,-40,15,
90,72,40,600,90,0.17994302239543458,179.25485429109042,179.43479731348586,0.9999154229806839,0.11323448654585393,591.4440895169993,0.3942960596779995,0.00037049961974844337,79.99919909401797,-0.000350952,-40,15,
105,83,40,611,90,11.958989244556847,151.84218065945578,163.80116990401262,0.8816510921972,0.1126853377265239,596.2077061658506,0.39747180411056704,0.0006565201019625988,79.99896680840976,-0.000350952,-40,15,
120,94,40,622,90,32.775141242850026,147.0595467403546,179.83468798320462,0.8392361426135406,0.11059857221306975,591.8702247169022,0.3945801498112681,0.0003018114929389526,79.9997571932463,-0.030406952,-40,15,
135,105,40,633,90,4.4904759343207274,177.10134728296057,172.61087134863985,0.991695572398247,0.11180669961559582,591.2330336435413,0.3941553557623608,0.00029149797637728625,79.99963380773761,-0.030448914,-40,15,
150,116,40,644,90,0.40882477157634867,179.45059718498,179.04177241340366,0.9998601433872027,0.11136738056013179,596.6950218038105,0.39779668120254036,0.0011113390620849373,79.99894477366828,-0.043586731,-40,15,
165,127,40,655,90,3.851389683919109,175.77535354311905,179.62674322703816,0.9972828707051881,0.10884129599121362,593.8350571631446,0.39589003810876305,0.0005684787396020852,79.99828847902108,-0.002304077,-40,15,
0,6,50,666,90,26.601539117393997,179.26148164572177,152.65994252832778,0.8882963487736542,0.13069741900054915,737.7452080374566,0.4918301386916377,0.00072479248046875,79.99866717035184,-0.060302734,-50,15,
15,17,50,677,90,0.23810251120724502,179.57490716424763,179.81300967545488,0.999972467345749,0.13168588687534322,741.5212266642195,0.494347484442813,0.00036177775859869143,79.99921058440151,-0.060302734,-50,15,
30,28,50,688,90,0.08944795739901679,179.72952802483113,179.81897598223014,0.9999888478635214,0.13465129049972543,740.6202291251266,0.493746819416751,0.00010255335617870287,79.99938045653295,-0.076480865,-50,15,
45,39,50,699,90,0.09647984994262515,179.4967206103291,179.59320046027173,0.9999614119533612,0.1360790774299835,740.9700441156541,0.49398002941043606,4.105506403107029e-05,79.9996027876571,-0.076480865,-50,15,
60,50,50,710,90,9.940914404451576,169.9107867810565,179.85170118550806,0.984536168071214,0.13640856672158155,742.722185433107,0.49514812362207133,0.00044987791147121925,79.99911691485974,-0.076480865,-50,15,
75,61,50,721,90,0.09239467829758041,179.67202824132906,179.57963356303148,0.9999730759624259,0.13245469522240527,739.5632225431167,0.49304214836207777,2.3162382291275208e-05,79.99932332138243,-0.130617142,-50,15,
90,72,50,732,90,0.3809508448293002,179.25485429109042,179.63580513591972,0.9999154229806839,0.13366282262493134,744.8562159902302,0.49657081066015346,7.963465759530663e-05,79.99964922829531,-0.011211395,-50,15,
105,83,50,743,90,15.874859160115562,179.6760290641282,163.80116990401262,0.960299372503032,0.1344316309719934,741.2530347247092,0.49416868981647283,0.0001274967986475417,79.99949583171309,-0.011211395,-50,15,
120,94,50,754,90,32.775141242850026,147.0595467403546,179.83468798320462,0.8392361426135406,0.1313563975837452,735.9435526804322,0.4906290351202881,0.0003018114929389526,79.9997571932463,-0.011211395,-50,15,
135,105,50,765,90,2.613250081118963,177.10134728296057,179.71459736407954,0.9987205365897528,0.13355299286106534,741.5630483163304,0.4943753655442203,0.00031847195942447115,79.99966078172065,-0.011211395,-50,15,
150,116,50,776,90,0.40882477157634867,179.45059718498,179.04177241340366,0.9998601433872027,0.13289401427786932,746.4608164458851,0.49764054429725674,0.0011113390620849373,79.99894477366828,-0.011211395,-50,15,
165,127,50,787,90,3.7779896505473687,175.77535354311905,179.55334319366642,0.9972828707051881,0.1313563975837452,742.3780666420868,0.4949187110947245,0.00035330982468906313,79.99921026758538,-0.090812683,-50,15,
0,6,60,798,90,26.601539117393997,179.26148164572177,152.65994252832778,0.8882963487736542,0.1626578802855574,894.5949599287756,0.596396639952517,0.00072479248046875,79.99866717035184,0,-60,15,
15,17,60,809,90,0.25047692125022536,179.57490716424763,179.3244302429974,0.9999304779490551,0.1644151565074135,895.1319125847114,0.5967546083898075,0.0003261940481422698,79.99924616811197,0,-60,15,
30,28,60,820,90,0.08944795739901679,179.72952802483113,179.81897598223014,0.9999888478635214,0.16639209225700163,896.5321200425963,0.5976880800283975,0.00010255335617870287,79.99938045653295,0,-60,15,
45,39,60,831,90,0.09647984994262515,179.4967206103291,179.59320046027173,0.9999614119533612,0.1683690280065898,894.7815874530032,0.5965210583020022,4.105506403107029e-05,79.9996027876571,0,-60,15,
60,50,60,842,90,9.18468568757146,169.9107867810565,179.09547246862795,0.984536168071214,0.16924766611751785,896.6209670340213,0.5977473113560142,0.00012049543870062962,79.99968728820991,0,-60,15,
75,61,60,853,90,0.12386210847597567,179.70349567150745,179.57963356303148,0.9999730759624259,0.16606260296540362,894.7771066317838,0.5965180710878558,0.00017330811504479016,79.9994734671152,0,-60,15,
90,72,60,864,90,0.3373274686834975,179.29847766723623,179.63580513591972,0.9999250347059733,0.16661175178473367,896.848584953992,0.5978990566359947,6.103515625e-05,79.99978989810916,0,-60,15,
105,83,60,875,90,15.874859160115562,179.6760290641282,163.80116990401262,0.960299372503032,0.16540362438220757,896.0894794752305,0.5973929863168204,0.0001274967986475417,79.99949583171309,0,-60,15,
120,94,60,886,90,32.775141242850026,147.0595467403546,179.83468798320462,0.8392361426135406,0.1626578802855574,893.4743061329124,0.5956495374219416,0.0003018114929389526,79.9997571932463,0,-60,15,
135,105,60,897,90,2.613250081118963,177.10134728296057,179.71459736407954,0.9987205365897528,0.1643053267435475,895.012841133559,0.5966752274223727,0.00031847195942447115,79.99966078172065,0,-60,15,
150,116,60,908,90,0.7326700210111596,179.779891906296,179.04722188528484,0.9998617294522817,0.1643053267435475,897.4558353145342,0.5983038902096894,0.0003978299567179988,79.99983104366282,0,-60,15,
165,127,60,919,90,0.2613712965759305,179.83872016387446,179.57734886729853,0.9999727826126139,0.16463481603514551,897.0173252460036,0.5980115501640024,0.0003347822704711234,79.99936805855722,0,-60,15,
0,6,70,930,90,0.07850968048180107,179.26148164572177,179.33999132620357,0.9999169205550197,0.214277869302581,1047.8658964526358,0.6985772643017572,0,79.9993919628323,0,-70,15,
15,17,70,941,90,28.0590861775693,177.1065802247698,149.0474940472005,0.8575939268117523,0.21361889071938495,1046.5509378821878,0.6977006252547918,0.00028861690481818414,79.99985702442501,0,-70,15,
30,28,70,952,90,19.853205481362124,159.96577050086802,179.81897598223014,0.9394881149057651,0.21724327292696322,1048.4523354549322,0.6989682236366215,0.00015854799053016677,79.9994364511673,0,-70,15,
45,39,70,963,90,0.09647984994262515,179.4967206103291,179.59320046027173,0.9999614119533612,0.21889071938495333,1046.0613715910156,0.6973742477273437,4.105506403107029e-05,79.9996027876571,0,-70,15,
60,50,70,974,90,9.18468568757146,169.9107867810565,179.09547246862795,0.984536168071214,0.22108731466227347,1047.0139379742473,0.6980092919828315,0.00012049543870062962,79.99968728820991,0,-70,15,
75,61,70,985,90,0.12386210847597567,179.70349567150745,179.57963356303148,0.9999730759624259,0.21724327292696322,1045.8342540995204,0.6972228360663469,0.00017330811504479016,79.9994734671152,0,-70,15,
90,72,70,996,90,10.971214478339391,179.29847766723623,168.32726318889684,0.97931918273648,0.2158154859967051,1047.480363215169,0.698320242143446,0,79.9998509332654,0,-70,15,
105,83,70,1007,90,15.874859160115562,179.6760290641282,163.80116990401262,0.960299372503032,0.21603514552443712,1046.7133298135477,0.6978088865423652,0.0001274967986475417,79.99949583171309,0,-70,15,
120,94,70,1018,90,0.021209995487993183,179.81347798771662,179.83468798320462,0.9999946911144911,0.21350906095551894,1044.7475573055453,0.6964983715370302,0.0002148687380625347,79.99984413600117,0,-70,15,
135,105,70,1029,90,27.799173535500614,177.10134728296057,149.30217374745996,0.8598716318927634,0.21537616694124107,1045.6153082888195,0.6970768721925463,0.00036432773060113277,79.99970663749184,0,-70,15,
150,116,70,1040,90,0.7326700210111596,179.779891906296,179.04722188528484,0.9998617294522817,0.21361889071938495,1049.1204826443134,0.6994136550962089,0.0003978299567179988,79.99983104366282,0,-70,15,
165,127,70,1051,90,0.2613712965759305,179.83872016387446,179.57734886729853,0.9999727826126139,0.214058209774849,1046.4628686567837,0.6976419124378558,0.0003347822704711234,79.99936805855722,0,-70,15,
0,6,80,1062,90,0.07850968048180107,179.26148164572177,179.33999132620357,0.9999169205550197,0.214277869302581,1047.865896452636,0.6985772643017574,0,79.9993919628323,-10,-80,15,
15,17,80,1073,90,28.0590861775693,177.1065802247698,149.0474940472005,0.8575939268117523,0.21361889071938495,1046.5509378821878,0.6977006252547918,0.00028861690481818414,79.99985702442501,-10,-80,15,
30,28,80,1084,90,19.853205481362124,159.96577050086802,179.81897598223014,0.9394881149057651,0.21724327292696322,1048.4523354549322,0.6989682236366215,0.00015854799053016677,79.9994364511673,-10,-80,15,
45,39,80,1095,90,0.09647984994262515,179.4967206103291,179.59320046027173,0.9999614119533612,0.21889071938495333,1046.0613715910154,0.6973742477273436,4.105506403107029e-05,79.9996027876571,-10,-80,15,
60,50,80,1106,90,9.18468568757146,169.9107867810565,179.09547246862795,0.984536168071214,0.22108731466227347,1047.0139379742475,0.6980092919828317,0.00012049543870062962,79.99968728820991,-10,-80,15,
75,61,80,1117,90,0.12386210847597567,179.70349567150745,179.57963356303148,0.9999730759624259,0.21724327292696322,1045.8342540995204,0.6972228360663469,0.00017330811504479016,79.9994734671152,-10,-80,15,
90,72,80,1128,90,10.971214478339391,179.29847766723623,168.32726318889684,0.97931918273648,0.2158154859967051,1047.4803632151688,0.6983202421434459,0,79.9998509332654,-10,-80,15,
105,83,80,1139,90,15.874859160115562,179.6760290641282,163.80116990401262,0.960299372503032,0.21603514552443712,1046.7133298135477,0.6978088865423652,0.0001274967986475417,79.99949583171309,-10,-80,15,
120,94,80,1150,90,0.021209995487993183,179.81347798771662,179.83468798320462,0.9999946911144911,0.21350906095551894,1044.7475573055453,0.6964983715370302,0.0002148687380625347,79.99984413600117,-10,-80,15,
135,105,80,1161,90,27.799173535500614,177.10134728296057,149.30217374745996,0.8598716318927634,0.21537616694124107,1045.6153082888195,0.6970768721925463,0.00036432773060113277,79.99970663749184,-10,-80,15,
150,116,80,1172,90,0.7326700210111596,179.779891906296,179.04722188528484,0.9998617294522817,0.21361889071938495,1049.1204826443134,0.6994136550962089,0.0003978299567179988,79.99983104366282,-10,-80,15,
165,127,80,1183,90,0.2613712965759305,179.83872016387446,179.57734886729853,0.9999727826126139,0.214058209774849,1046.4628686567837,0.6976419124378558,0.0003347822704711234,79.99936805855722,-10,-80,15,
0,6,90,1194,90,0.07850968048180107,179.26148164572177,179.33999132620357,0.9999169205550197,0.214277869302581,1047.8658964526358,0.6985772643017572,0,79.9993919628323,-20,-90,15,
15,17,90,1205,90,28.0590861775693,177.1065802247698,149.0474940472005,0.8575939268117523,0.21361889071938495,1046.5509378821878,0.6977006252547918,0.00028861690481818414,79.99985702442501,-20,-90,15,
30,28,90,1216,90,19.853205481362124,159.96577050086802,179.81897598223014,0.9394881149057651,0.21724327292696322,1048.4523354549322,0.6989682236366215,0.00015854799053016677,79.9994364511673,-20,-90,15,
45,39,90,1227,90,0.09647984994262515,179.4967206103291,179.59320046027173,0.9999614119533612,0.21889071938495333,1046.0613715910156,0.6973742477273437,4.105506403107029e-05,79.9996027876571,-20,-90,15,
60,50,90,1238,90,9.18468568757146,169.9107867810565,179.09547246862795,0.984536168071214,0.22108731466227347,1047.0139379742473,0.6980092919828315,0.00012049543870062962,79.99968728820991,-20,-90,15,
75,61,90,1249,90,0.12386210847597567,179.70349567150745,179.57963356303148,0.9999730759624259,0.21724327292696322,1045.8342540995204,0.6972228360663469,0.00017330811504479016,79.9994734671152,-20,-90,15,
90,72,90,1260,90,10.971214478339391,179.29847766723623,168.32726318889684,0.97931918273648,0.2158154859967051,1047.4803632151688,0.6983202421434459,0,79.9998509332654,-20,-90,15,
105,83,90,1271,90,15.874859160115562,179.6760290641282,163.80116990401262,0.960299372503032,0.21603514552443712,1046.7133298135477,0.6978088865423652,0.0001274967986475417,79.99949583171309,-20,-90,15,
120,94,90,1282,90,0.021209995487993183,179.81347798771662,179.83468798320462,0.9999946911144911,0.21350906095551894,1044.7475573055453,0.6964983715370302,0.0002148687380625347,79.99984413600117,-20,-90,15,
135,105,90,1293,90,27.799173535500614,177.10134728296057,149.30217374745996,0.8598716318927634,0.21537616694124107,1045.6153082888195,0.6970768721925463,0.00036432773060113277,79.99970663749184,-20,-90,15,
150,116,90,1304,90,0.7326700210111596,179.779891906296,179.04722188528484,0.9998617294522817,0.21361889071938495,1049.1204826443134,0.6994136550962089,0.0003978299567179988,79.99983104366282,-20,-90,15,
165,127,90,1315,90,0.2613712965759305,179.83872016387446,179.57734886729853,0.9999727826126139,0.214058209774849,1046.4628686567837,0.6976419124378558,0.0003347822704711234,79.99936805855722,-20,-90,15,
