angle_deg,base_id,depth,id,length,opening,score_angle_diff,score_angle_ymax,score_angle_ymin,score_force_closure,score_inner_points_ratio,score_proj_area,score_proj_area_ratio,score_y0_diff,score_y_diff,score_zmax,score_zmin,width,final_score
0,6,10,138,100,90,2.913784329809829,153.22335130882058,150.30956697901075,0.8687142229930961,0.006132756132756133,111.22155327365228,0.07414770218243485,60,20,-0.124258041,-10,15,3.5
15,18,10,150,100,105,33.084062793013516,153.64981979409055,120.56575700107703,0.5085268946627717,0.006613756613756613,123.96100350745928,0.08264066900497286,61.78041404114803,24.21300787883176,-0.124258041,-10,15,2.7
30,30,10,162,100,120,21.078789970646994,128.17457734596942,149.25336731661642,0.6180596365230806,0.008297258297258298,135.8619948992816,0.09057466326618774,69.3156927641923,31.113164693185155,-0.260745049,-10,15,3.1
45,42,10,174,100,135,0.12958445108355932,124.92310935048447,124.79352489940091,0.5706207587633382,0.010582010582010581,126.45096598662795,0.0843006439910853,84.69411501052714,43.068177270643005,-0.260745049,-10,15,3
135,108,10,240,100,135,11.982704414064926,135.77780088981362,123.7950964757487,0.556224490053598,0.00974025974025974,119.09923867316274,0.07939949244877516,83.9767365365963,42.34734612688218,-0.255911827,-10,15,2.9
150,118,10,250,100,120,8.716076132005895,138.18931124509288,129.473235113087,0.6357176913738001,0.007335257335257335,119.46083340203788,0.07964055560135859,69.8248741416171,30.92702205273956,-0.50320816,-10,15,3.3
165,128,10,260,100,105,4.642763353141987,150.63439070074773,155.27715405388972,0.8715083010795365,0.006613756613756613,111.20145544079061,0.07413430362719374,61.9308108301961,24.45179712191249,-0.124258041,-10,15,3.5
0,6,20,270,100,90,0.9054299077803876,179.0945700922196,180,0.9998751294139802,0.022366522366522368,283.91010148289024,0.1892734009885935,0,80,-0.313783646,-20,15,4.7
15,18,20,282,100,105,0.2140626028493955,164.785937397148,164.99999999999739,0.9649521043803502,0.021284271284271284,274.99194575860656,0.18332796383907105,0.042986764544359346,86.49295930805062,-0.250202179,-20,15,4.6
30,30,20,294,100,120,2.0380614521303926,147.21530586448603,149.25336731661642,0.8407112757960511,0.02284752284752285,278.2503309266538,0.18550022061776922,0.1707274119059079,100.25813004547155,-0.250202179,-20,15,4.3
45,42,20,306,100,135,7.083715389337172,127.91628461065825,134.99999999999542,0.6145094426760317,0.02898027898027898,281.72339303201693,0.18781559535467796,0.6558332855117328,127.38556419304209,-0.160276413,-20,15,4
90,76,20,340,100,150,2.577371858449311,166.55145723610906,163.97408537765975,0.9611369184766441,0.02465127465127465,135.35527436924164,0.09023684957949443,0.044036865234375,129.93417358398438,-0.465108871,-9.999998093,15,4.5
135,109,20,373,100,150,18.981828521879294,135.00000000000148,116.01817147812218,0.4386561747909443,0.029822029822029823,266.08282118730386,0.17738854745820257,0.07041288534581014,127.47826702927878,-0.081063271,-20,15,3.8
150,118,20,382,100,120,8.92872511770966,138.18931124509288,147.11803636280254,0.7453516349820588,0.023448773448773448,265.7024296141931,0.17713495307612873,0.1303100585937571,100.6215861357629,-0.087931633,-20,15,4.2
165,128,20,392,100,105,9.083487077545783,164.9999999999981,155.9165129224523,0.9129518130165442,0.022967772967772967,272.66240470686563,0.18177493647124376,0.21092235658014147,86.2219005027318,-0.375523567,-20,15,4.4
0,6,30,402,100,90,0.9054299077803876,179.0945700922196,180,0.9998751294139802,0.035954785954785955,433.938269890105,0.28929217992673667,0,80,-0.169628143,-30,15,5.3
15,18,30,414,100,105,0.2140626028493955,164.785937397148,164.99999999999739,0.9649521043803502,0.03571428571428571,431.4385300641492,0.2876256867094328,0.042986764544359346,86.49295930805062,-0.029953003,-30,15,5.2
30,30,30,426,100,120,2.0380614521303926,147.21530586448603,149.25336731661642,0.8407112757960511,0.03811928811928812,424.3589917464025,0.2829059944976017,0.1707274119059079,100.25813004547155,-0.814031601,-30,15,5
45,43,30,439,100,150,7.083715389337172,127.91628461065825,134.99999999999542,0.6145094426760317,0.049663299663299666,434.7588976516662,0.2898392651011108,0.6558332855117328,127.38556419304209,-0.246751785,-30,15,4.7
90,76,30,472,100,150,0.18892698726810409,177.7461181047735,177.5571911175054,0.9990912535909141,0.042328042328042326,280.87182193976685,0.1872478812931779,5.7220458984375e-06,129.9999942779541,-0.326221466,-19.99999809,15,5.3
135,109,30,505,100,150,18.981828521879294,135.00000000000148,116.01817147812218,0.4386561747909443,0.05146705146705147,428.4803706791037,0.2856535804527358,0.07041288534581014,127.47826702927878,-0.141386032,-30,15,4.5
150,118,30,514,100,120,3.627480375799564,138.18931124509288,141.81679162089245,0.7453516349820588,0.03908128908128908,420.9355589564454,0.2806237059709636,0.11186981201172586,100.64002638234493,-0.123565674,-30,15,4.9
165,128,30,524,100,105,9.083487077547716,165.00000000000003,155.9165129224523,0.9129518130165442,0.037999037999038,432.0295063376727,0.28801967089178176,0.3203624195738968,86.33134056572555,-0.123565674,-30,15,5.1
0,6,40,534,100,90,0.9054299077803876,179.0945700922196,180,0.9998751294139802,0.0392015392015392,586.2634867034052,0.3908423244689368,0,80,-0.181968689,-40,15,5.9
15,18,40,546,100,105,0.21406260285840517,164.785937397148,165.0000000000064,0.9649521043803502,0.039802789802789805,566.8265007058002,0.37788433380386677,0.0781411488519197,86.52811369235818,-0.181968689,-40,15,5.8
30,30,40,558,100,120,2.0380614521303926,147.21530586448603,149.25336731661642,0.8407112757960511,0.04280904280904281,580.6203944362015,0.38708026295746767,0.1707274119059079,100.25813004547155,-0.083091736,-40,15,5.6
45,43,40,571,100,150,7.083715389337172,127.91628461065825,134.99999999999542,0.6145094426760317,0.056517556517556515,585.5563588625763,0.3903709059083842,0.6558332855117328,127.38556419304209,-0.256494522,-40,15,5.3
90,76,40,604,100,150,2.253881895226499,177.7461181047735,180,0.9992263640298111,0.04882154882154882,439.4596004623816,0.2929730669749211,5.7220458984375e-06,129.9999942779541,-0.138515472,-29.99999809,15,5.9
